0	0	1	2	1	1
1	3	4	5	1	1
2	6	7	8	1	1
3	9	10	11	1	1
4	8	12	6	1	1
5	13	14	15	1	1
6	1	16	2	1	1
7	5	17	3	1	1
8	18	19	20	1	1
9	21	22	23	1	1
10	11	24	9	1	1
11	25	26	27	1	1
12	15	28	13	1	1
13	29	30	31	1	1
14	29	32	30	1	1
15	33	34	35	1	1
16	35	34	36	1	1
17	37	38	39	1	1
18	38	40	39	1	1
19	41	42	43	1	1
20	43	42	44	1	1
21	45	46	47	1	1
22	48	49	50	1	1
23	51	52	53	1	1
24	54	55	56	1	1
25	57	58	59	1	1
26	60	61	62	1	1
27	63	64	65	1	1
28	66	67	68	1	1
29	68	69	66	1	1
30	70	46	45	1	1
31	71	19	18	1	1
32	23	22	72	1	1
33	73	67	74	1	1
34	25	75	26	1	1
35	76	77	39	1	1
36	39	40	76	1	1
37	78	79	80	1	1
38	80	81	78	1	1
39	82	83	84	1	1
40	84	85	82	1	1
41	86	87	88	1	1
42	89	90	91	1	1
43	35	36	92	1	1
44	92	93	35	1	1
45	91	94	89	1	1
46	95	96	97	1	1
47	98	99	100	1	1
48	100	101	98	1	1
49	29	102	103	1	1
50	103	32	29	1	1
51	104	105	103	1	1
52	106	105	104	1	1
53	103	102	104	1	1
54	107	108	109	1	1
55	110	101	100	1	1
56	109	111	107	1	1
57	31	30	112	1	1
58	98	34	33	1	1
59	33	99	98	1	1
60	86	85	84	1	1
61	84	87	86	1	1
62	82	77	76	1	1
63	76	83	82	1	1
64	113	38	37	1	1
65	41	114	115	1	1
66	115	42	41	1	1
67	78	94	91	1	1
68	91	79	78	1	1
69	116	81	80	1	1
70	97	117	95	1	1
71	100	118	110	1	1
72	80	119	116	1	1
73	104	120	106	1	1
74	88	121	86	1	1
75	112	122	31	1	1
76	37	123	113	1	1
77	124	125	126	1	1
78	126	127	124	1	1
79	74	67	66	1	1
80	53	128	51	1	1
81	56	129	54	1	1
82	48	130	131	1	1
83	132	10	9	1	1
84	133	134	135	1	1
85	59	136	57	1	1
86	65	137	63	1	1
87	66	125	74	1	1
88	62	138	60	1	1
89	50	139	48	1	1
90	20	140	18	1	1
91	23	141	21	1	1
92	15	14	142	1	1
93	143	144	89	1	1
94	74	145	73	1	1
95	146	73	147	1	1
96	148	61	60	1	1
97	51	149	52	1	1
98	150	151	152	1	1
99	59	58	153	1	1
100	154	63	155	1	1
101	156	157	158	1	1
102	159	160	161	1	1
103	89	144	90	1	1
104	28	58	162	1	1
105	163	61	24	1	1
106	164	53	165	1	1
107	131	130	166	1	1
108	167	168	169	1	1
109	170	152	171	1	1
110	165	54	164	1	1
111	49	172	50	1	1
112	135	134	173	1	1
113	47	174	45	1	1
114	153	28	15	1	1
115	9	24	148	1	1
116	155	25	154	1	1
117	175	12	176	1	1
118	152	151	171	1	1
119	177	178	179	1	1
120	152	130	150	1	1
121	8	7	180	1	1
122	167	169	1	1	1
123	171	3	170	1	1
124	64	181	65	1	1
125	126	125	66	1	1
126	161	160	182	1	1
127	183	157	156	1	1
128	2	140	0	1	1
129	4	141	5	1	1
130	153	58	28	1	1
131	24	61	148	1	1
132	147	120	146	1	1
133	169	168	184	1	1
134	176	144	175	1	1
135	185	54	165	1	1
136	177	186	178	1	1
137	26	174	27	1	1
138	48	139	130	1	1
139	185	55	54	1	1
140	158	187	156	1	1
141	161	188	159	1	1
142	6	12	175	1	1
143	149	189	52	1	1
144	27	190	25	1	1
145	25	190	154	1	1
146	191	192	193	1	1
147	193	192	194	1	1
148	55	172	56	1	1
149	73	145	147	1	1
150	195	55	185	1	1
151	196	55	195	1	1
152	197	198	199	1	1
153	149	200	189	1	1
154	201	202	203	1	1
155	63	137	155	1	1
156	199	204	197	1	1
157	205	206	207	1	1
158	136	208	209	1	1
159	200	173	189	1	1
160	149	126	200	1	1
161	126	66	200	1	1
162	210	211	212	1	1
163	213	214	215	1	1
164	216	217	142	1	1
165	218	219	220	1	1
166	220	219	221	1	1
167	222	151	150	1	1
168	214	223	215	1	1
169	224	225	226	1	1
170	227	228	229	1	1
171	230	214	213	1	1
172	231	232	233	1	1
173	234	235	236	1	1
174	237	238	239	1	1
175	230	213	240	1	1
176	241	242	243	1	1
177	229	217	227	1	1
178	244	245	246	1	1
